@relation NormalizedData_MineLIWC_1221

@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute f8 numeric
@attribute f9 numeric
@attribute f10 numeric
@attribute f11 numeric
@attribute f12 numeric
@attribute f13 numeric
@attribute f14 numeric
@attribute f15 numeric
@attribute f16 numeric
@attribute f17 numeric
@attribute f18 numeric
@attribute f19 numeric
@attribute f20 numeric
@attribute f21 numeric
@attribute f22 numeric
@attribute f23 numeric
@attribute f24 numeric
@attribute f25 numeric
@attribute f26 numeric
@attribute f27 numeric
@attribute f28 numeric
@attribute f29 numeric
@attribute f30 numeric
@attribute f31 numeric
@attribute f32 numeric
@attribute f33 numeric
@attribute f34 numeric
@attribute f35 numeric
@attribute f36 numeric
@attribute f37 numeric
@attribute f38 numeric
@attribute f39 numeric
@attribute f40 numeric
@attribute f41 numeric
@attribute f42 numeric
@attribute f43 numeric
@attribute f44 numeric
@attribute f45 numeric
@attribute f46 numeric
@attribute f47 numeric
@attribute f48 numeric
@attribute f49 numeric
@attribute f50 numeric
@attribute f51 numeric
@attribute f52 numeric
@attribute f53 numeric
@attribute f54 numeric
@attribute f55 numeric
@attribute f56 numeric
@attribute f57 numeric
@attribute f58 numeric
@attribute f59 numeric
@attribute f60 numeric
@attribute f61 numeric
@attribute f62 numeric
@attribute f63 numeric
@attribute f64 numeric
@attribute f65 numeric
@attribute f66 numeric
@attribute f67 numeric
@attribute f68 numeric
@attribute f69 numeric
@attribute f70 numeric
@attribute f71 numeric
@attribute f72 numeric
@attribute f73 numeric
@attribute f74 numeric
@attribute f75 numeric
@attribute f76 numeric
@attribute f77 numeric
@attribute f78 numeric
@attribute label {patient,healthy}

@data
0.219764,0.082981,0.054713,0.04377,0.000912,0.007295,0.001824,0.000912,0.028268,0.020061,0.053801,0.034652,0.021885,0.027356,0.005471,0.069303,0.009119,0.004559,0.016414,0,0.005471,0.010943,0.003648,0.006383,0.004559,0,0,0.031916,0.002736,0.000912,0.002736,0.002736,0.034652,0.002736,0.009119,0.004559,0.010031,0.003648,0.007295,0.021885,0.004559,0.013678,0.003648,0.016414,0.009119,0.001824,0,0.005471,0.016414,0.003648,0.000912,0.007295,0.003648,0.001824,0.008207,0.058361,0.011854,0.057449,0.010943,0.023709,0.026445,0.010031,0.012766,0.008207,0.01459,0.001824,0,0.005471,0.000912,0.000912,0.002736,0.000912,0,0,0.239825,0.37296,0.059272,0.439528,patient
0.130778,0.043223,0.034911,0.028816,0.000554,0.001662,0.003325,0.000554,0.008312,0.008866,0.028261,0.026599,0.013299,0.020503,0.005541,0.047102,0.014408,0.008312,0.003325,0,0.004433,0.012191,0.007204,0.004987,0.002217,0.000554,0.001108,0.016624,0.002771,0.001108,0.002771,0.001662,0.02937,0.007204,0.004433,0.003325,0.007204,0.001662,0.010529,0.006096,0.002217,0.001662,0.002217,0.00942,0.001662,0.00665,0,0.001108,0.009975,0.003879,0.002217,0.002217,0.001108,0.000554,0.002217,0.03879,0.00942,0.030478,0.006096,0.014408,0.011083,0.008866,0.002217,0.003325,0.002217,0.001108,0,0.002771,0,0,0.002771,0,0,0,0.122466,0.218333,0.027707,0.235511,patient
0.233454,0.090827,0.06812,0.058186,0.00071,0.005677,0.001419,0.002129,0.022707,0.019868,0.059605,0.038318,0.020578,0.022707,0.002838,0.082312,0.014901,0.007096,0.007805,0.001419,0.009225,0.021288,0.01703,0.004258,0,0,0.003548,0.03477,0.003548,0.00071,0.002838,0.002129,0.039737,0.007096,0.007096,0.009225,0.01632,0.002129,0.008515,0.01632,0.007805,0.004967,0.002838,0.011353,0.004258,0.001419,0.00071,0.004258,0.033351,0.012063,0.013482,0.006386,0.005677,0,0.007805,0.057476,0.018449,0.069539,0.010644,0.023416,0.037608,0.01774,0.01703,0.003548,0.008515,0.002129,0.00071,0.001419,0,0,0,0.001419,0,0,0.207909,0.400206,0.070249,0.449877,patient
0.464541,0.157274,0.114315,0.083734,0.005825,0.008009,0.008009,0.008737,0.041503,0.050968,0.095384,0.077181,0.062618,0.052425,0.015291,0.149265,0.025484,0.018931,0.013106,0.008737,0.024756,0.043687,0.028397,0.014562,0.003641,0.005097,0.002912,0.0699,0.010194,0.000728,0.014562,0.001456,0.096112,0.018931,0.018203,0.013834,0.018931,0.013834,0.018931,0.016747,0.006553,0.005097,0.004369,0.01165,0.001456,0.002912,0,0.004369,0.059706,0.016019,0.012378,0.016019,0.013834,0.005097,0.022572,0.116499,0.016019,0.107762,0.013106,0.047328,0.051697,0.029125,0.010194,0.002912,0.003641,0.000728,0.000728,0.005825,0,0.001456,0.003641,0.000728,0,0,0.279598,0.737586,0.104849,0.792195,patient
0.303435,0.12329,0.091989,0.070908,0.001916,0.008943,0.007666,0.002555,0.031302,0.019803,0.059409,0.047911,0.039606,0.038967,0.010221,0.108598,0.014693,0.012776,0.017248,0.006388,0.008305,0.02683,0.020442,0.006388,0.001916,0.003194,0.001278,0.045994,0.003194,0.001916,0.00511,0.00511,0.077296,0.015331,0.017248,0.009582,0.020442,0.008943,0.014693,0.024914,0.008305,0.01597,0.000639,0.007027,0.001278,0.001278,0.000639,0.002555,0.025552,0.007666,0.004472,0.004472,0.010221,0.001916,0.013415,0.093266,0.004472,0.052382,0.008305,0.017248,0.030024,0.007666,0.017248,0.004472,0.004472,0.000639,0,0.01086,0.001278,0.002555,0.004472,0.002555,0,0,0.196754,0.474636,0.055577,0.501466,patient
0.282684,0.108773,0.08158,0.055651,0.003162,0.004427,0.012016,0.006324,0.027193,0.028458,0.062608,0.039841,0.021502,0.036679,0.007589,0.103081,0.017075,0.012016,0.007589,0.005059,0.010751,0.02909,0.023399,0.005692,0.001265,0.00253,0.001897,0.062608,0.001897,0.008221,0.004427,0.010118,0.070829,0.014545,0.006956,0.012648,0.022766,0.004427,0.019604,0.022766,0.007589,0.012648,0.00253,0.014545,0.004427,0.003162,0,0.004427,0.041739,0.020237,0.003794,0.012016,0.007589,0.000632,0.019604,0.077153,0.013913,0.083477,0.016442,0.030988,0.036679,0.019604,0.014545,0.006324,0.003794,0.001897,0.000632,0.006324,0.000632,0.001265,0.003162,0.001265,0,0,0.235253,0.506554,0.073359,0.555881,patient
0.081424,0.03083,0.023716,0.01581,0.000791,0.006324,0,0.000791,0.007115,0.008696,0.018182,0.01502,0.009486,0.003162,0.002372,0.033993,0.009486,0.005534,0.003953,0.002372,0.001581,0.011067,0.008696,0.002372,0,0,0.000791,0.021344,0.001581,0.001581,0,0.000791,0.019763,0.005534,0.004743,0.005534,0,0.002372,0.001581,0.011067,0.003162,0.007115,0.000791,0.006324,0.003162,0.001581,0,0.002372,0.014229,0.004743,0.003162,0.004743,0.003953,0.001581,0.004743,0.024506,0,0.020554,0.002372,0.006324,0.011858,0.003162,0.012648,0,0.002372,0,0,0.003162,0,0.001581,0.000791,0.000791,0,0,0.123322,0.151781,0.024506,0.177077,patient
0.204288,0.071837,0.058817,0.043551,0.004041,0.00898,0.000898,0.001347,0.013021,0.013021,0.055674,0.03098,0.019306,0.030531,0.008082,0.070042,0.01751,0.006735,0.005837,0.001796,0.012123,0.020653,0.015714,0.00449,0.000898,0.001347,0.000898,0.046245,0.003143,0.002694,0.001347,0.000898,0.050735,0.009429,0.009429,0.006286,0.018857,0.005837,0.010327,0.017959,0.00898,0.00449,0.004041,0.011674,0.002245,0.006735,0.001347,0.002245,0.033674,0.015714,0.00449,0.010327,0.003143,0.001347,0.007184,0.063756,0.007184,0.061062,0.009878,0.024245,0.026939,0.016612,0.019755,0.004041,0.00898,0.001796,0.000449,0.006286,0,0.000898,0.004939,0,0,0,0.22539,0.391514,0.064654,0.461107,patient
0.306874,0.108027,0.080781,0.065964,0.001912,0.003346,0.000956,0.008604,0.027246,0.02151,0.06692,0.049712,0.026768,0.05019,0.018164,0.114241,0.013862,0.015774,0.008126,0.002868,0.008604,0.023422,0.01673,0.006214,0,0.000956,0.001912,0.047322,0.003824,0.006214,0.003346,0.003346,0.086517,0.018164,0.015774,0.019598,0.015296,0.005258,0.020076,0.022944,0.010994,0.006214,0.005736,0.006214,0.002868,0.002868,0.000956,0,0.03346,0.012906,0.006214,0.008126,0.006692,0.004302,0.00956,0.104203,0.006214,0.056882,0.01434,0.02151,0.021032,0.01195,0.012428,0.001434,0.002868,0.001434,0.000478,0.005736,0.000478,0.001434,0.003346,0.000478,0,0,0.166343,0.490903,0.054014,0.513368,patient
0.141356,0.053566,0.035711,0.029015,0.000744,0.00372,0.001488,0.000744,0.017855,0.008928,0.035711,0.023063,0.013392,0.017855,0.005952,0.052822,0.010416,0.005208,0.005208,0.001488,0.002232,0.017855,0.013392,0.00372,0,0.000744,0.001488,0.026783,0.002976,0.004464,0.004464,0.002232,0.027527,0.005208,0.006696,0.002976,0.008184,0.00372,0.006696,0.008928,0.002976,0.00372,0.001488,0.005208,0.001488,0.001488,0,0.002232,0.025295,0.008184,0.008928,0.005208,0.00372,0.002232,0.008184,0.037199,0.008184,0.043895,0.008928,0.021575,0.01488,0.014136,0.006696,0.002976,0.00372,0.000744,0.000744,0.005208,0.000744,0.001488,0.002976,0.000744,0,0,0.202362,0.258904,0.046871,0.310983,patient
